ensembl,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ensembl.y,gene,ENTREZID,description
ENSG00000196850.6,1001.0676890994987,2.754551143971398,0.14371480168342685,19.1667880531825,7.010586335757859e-82,1.5137258016168369e-77,ENSG00000196850,PPTC7,160760,protein phosphatase targeting COQ7 [Source:HGNC Symbol;Acc:HGNC:30695]
ENSG00000120690.16,1652.5155738628907,3.1935817693846467,0.16882083128876219,18.916988768537312,8.264328387822282e-80,8.922168927492935e-76,ENSG00000120690,ELF1,1997,E74 like ETS transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3316]
ENSG00000150593.18,1604.885174816852,2.0101735154878386,0.11532199792044612,17.430963317809837,4.8030021969946275e-68,2.5926605859377e-64,ENSG00000150593,PDCD4,27250,programmed cell death 4 [Source:HGNC Symbol;Acc:HGNC:8763]
ENSG00000215301.11,4204.988419117052,2.104677477582127,0.1293278606017695,16.273968097739722,1.5104425525594701e-59,6.522695118972815e-56,ENSG00000215301,DDX3X,1654,DEAD-box helicase 3 X-linked [Source:HGNC Symbol;Acc:HGNC:2745]
ENSG00000120709.11,1290.851774170909,2.875542900951134,0.1805507912220712,15.926504013013801,4.149156267728483e-57,1.4931430355465567e-53,ENSG00000120709,FAM53C,51307,family with sequence similarity 53 member C [Source:HGNC Symbol;Acc:HGNC:1336]
ENSG00000120709.11,1290.851774170909,2.875542900951134,0.1805507912220712,15.926504013013801,4.149156267728483e-57,1.4931430355465567e-53,ENSG00000120709,FAM53C,100128966,family with sequence similarity 53 member C [Source:HGNC Symbol;Acc:HGNC:1336]
ENSG00000163291.14,670.6471507066216,2.7460111821463236,0.17518736766693271,15.674709990317663,2.252507591212149e-55,6.847119103299919e-52,ENSG00000163291,PAQR3,152559,progestin and adipoQ receptor family member 3 [Source:HGNC Symbol;Acc:HGNC:30130]
ENSG00000111897.7,1529.9014341302395,1.8414537882588957,0.11753595447129168,15.667153055779824,2.5369096344201257e-55,6.847119103299919e-52,ENSG00000111897,SERINC1,57515,serine incorporator 1 [Source:HGNC Symbol;Acc:HGNC:13464]
ENSG00000165732.13,5721.547357164951,2.241024084809816,0.14570636653187521,15.380412936997931,2.2153029557071476e-53,4.783282141962873e-50,NA,NA,NA,NA
ENSG00000155096.14,2110.283205759641,1.9803786609669118,0.1310015981746797,15.117209931486805,1.2471582741400741e-51,2.4480583141120437e-48,NA,NA,NA,NA
ENSG00000104549.12,971.7759147735497,1.967724807544751,0.13214953003049018,14.890138520286436,3.819773244700956e-50,6.873045324965254e-47,ENSG00000104549,SQLE,6713,squalene epoxidase [Source:HGNC Symbol;Acc:HGNC:11279]
ENSG00000162601.11,1030.0361235632618,1.9876171578328719,0.13574684484881244,14.642087335779872,1.51349426379692e-48,2.178624542926873e-45,NA,NA,NA,NA
