ensembl,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ensembl.y,gene,ENTREZID,description
ENSG00000265206.5,1265.7048186900274,-2.46450623967807,0.13345395886054998,-18.467089779279654,3.8002694291313944e-76,2.735180583793502e-72,NA,NA,NA,NA
ENSG00000175756.13,2915.2656474372234,-1.6272298093129842,0.10560576775970255,-15.40853159664172,1.434341413604763e-53,3.441144422506005e-50,NA,NA,NA,NA
ENSG00000123485.12,1659.8573199886198,-1.715961093745945,0.11662790651502468,-14.713126086378692,5.309678481595734e-49,8.818967521124237e-46,ENSG00000123485,HJURP,55355,Holliday junction recognition protein [Source:HGNC Symbol;Acc:HGNC:25444]
ENSG00000176444.19,4816.737789384887,-1.530738299577571,0.10423281474800764,-14.685761900206483,7.953517954066831e-49,1.2266597118872215e-45,ENSG00000176444,CLK2,1196,CDC like kinase 2 [Source:HGNC Symbol;Acc:HGNC:2069]
ENSG00000173457.11,5805.551635931995,-1.3406759897398717,0.09328349207628009,-14.372060478220194,7.74909985676088e-47,8.365928205359045e-44,ENSG00000173457,PPP1R14B,26472,protein phosphatase 1 regulatory inhibitor subunit 14B [Source:HGNC Symbol;Acc:HGNC:9057]
ENSG00000075624.17,101337.80731142715,-1.2827191650195486,0.09121185630688321,-14.06307487815868,6.404198300610338e-45,6.012149987251236e-42,ENSG00000075624,ACTB,60,actin beta [Source:HGNC Symbol;Acc:HGNC:132]
ENSG00000172301.11,1303.4078920669344,-1.615568209681311,0.11564133266070022,-13.970508403094087,2.3593639660755003e-44,2.1226411148125918e-41,ENSG00000172301,COPRS,55352,coordinator of PRMT5 and differentiation stimulator [Source:HGNC Symbol;Acc:HGNC:28848]
ENSG00000206077.14,2539.929755979722,-1.6407798074611826,0.11795564559134496,-13.910142233849767,5.497002736617262e-44,4.5650493495784586e-41,ENSG00000206077,ZDHHC11B,653082,zinc finger DHHC-type containing 11B [Source:HGNC Symbol;Acc:HGNC:32962]
ENSG00000170906.16,1028.891189751789,-1.6579482006344,0.11962115991627953,-13.859991006564098,1.1068812535600616e-43,8.589964206128043e-41,ENSG00000170906,NDUFA3,4696,NADH:ubiquinone oxidoreductase subunit A3 [Source:HGNC Symbol;Acc:HGNC:7686]
ENSG00000074071.15,3826.9723011502633,-1.437080508738438,0.10404078263262367,-13.812665306573905,2.1377328646999784e-43,1.5916526901586874e-40,ENSG00000074071,MRPS34,65993,mitochondrial ribosomal protein S34 [Source:HGNC Symbol;Acc:HGNC:16618]
ENSG00000163463.13,3924.69199983206,-1.5021572563945054,0.11184014274817876,-13.431288797411401,3.96451154571408e-41,2.6750541654705754e-38,ENSG00000163463,KRTCAP2,200185,keratinocyte associated protein 2 [Source:HGNC Symbol;Acc:HGNC:28942]
ENSG00000229119.3,3926.5422252390185,-2.0472338218211763,0.1534368830243952,-13.342514403760946,1.309664596487822e-40,8.569175141625773e-38,ENSG00000229119,RPLP0P9,NA,ribosomal protein lateral stalk subunit P0 pseudogene 9 [Source:HGNC Symbol;Acc:HGNC:55906]
ENSG00000161888.11,799.2282199776474,-1.8756173310574158,0.14450272590156013,-12.979805878092197,1.5928376731416696e-38,9.55348639957637e-36,NA,NA,NA,NA
ENSG00000182154.8,983.3316750082126,-1.7345370231999884,0.1374926526658195,-12.615488824816252,1.7347788362810443e-36,9.364336158245077e-34,ENSG00000182154,MRPL41,64975,mitochondrial ribosomal protein L41 [Source:HGNC Symbol;Acc:HGNC:14492]
ENSG00000126267.11,3613.915449252336,-1.2513969558213554,0.09978525740094972,-12.540900213275844,4.459012412282788e-36,2.239046418744418e-33,ENSG00000126267,COX6B1,1340,cytochrome c oxidase subunit 6B1 [Source:HGNC Symbol;Acc:HGNC:2280]
ENSG00000092067.6,2208.504579550797,-1.5940588568297733,0.12856806374431037,-12.39856003431736,2.6606181793980935e-35,1.222299313394971e-32,NA,NA,NA,NA
ENSG00000118640.11,3772.0761254514637,-1.51261976297508,0.12451225427271115,-12.14836059157749,5.8527421986499505e-34,2.3402298065416615e-31,ENSG00000118640,VAMP8,8673,vesicle associated membrane protein 8 [Source:HGNC Symbol;Acc:HGNC:12647]
ENSG00000139343.10,4943.465820449696,-1.1594537819324886,0.09635014418875504,-12.03375243176655,2.361772314305314e-33,9.106319251871489e-31,NA,NA,NA,NA
ENSG00000087191.13,2627.477912988894,-1.244663161804939,0.10518125281952467,-11.833507668335109,2.6196130123999104e-32,9.272571174383421e-30,NA,NA,NA,NA
ENSG00000156411.10,2603.998499688015,-1.209884170358798,0.10285035572968342,-11.763538995807439,6.015873922595418e-32,2.0618214243917502e-29,ENSG00000156411,ATP5MJ,9556,ATP synthase membrane subunit j [Source:HGNC Symbol;Acc:HGNC:1188]
ENSG00000140474.14,1688.3056732090738,-1.601151249342558,0.13713120043588653,-11.676053620570107,1.6895921382991734e-31,5.612565146177808e-29,ENSG00000140474,ULK3,25989,unc-51 like kinase 3 [Source:HGNC Symbol;Acc:HGNC:19703]
ENSG00000196757.8,964.0108606599193,-1.461222380738705,0.12567172213232874,-11.627296546474309,2.994309986064923e-31,9.649722570016988e-29,ENSG00000196757,ZNF700,90592,zinc finger protein 700 [Source:HGNC Symbol;Acc:HGNC:25292]
ENSG00000185347.18,637.3608864016087,-1.5362708226378663,0.1323056076776886,-11.611532191291511,3.6010437187214703e-31,1.1434372937446173e-28,ENSG00000185347,TEDC1,283643,tubulin epsilon and delta complex 1 [Source:HGNC Symbol;Acc:HGNC:20127]
ENSG00000168061.17,540.8149649579436,-1.8298512305894552,0.1580944859810137,-11.57441525702048,5.554870346582663e-31,1.7382718916436645e-28,ENSG00000168061,SAC3D1,29901,SAC3 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30179]
ENSG00000099795.7,1296.0745616839313,-1.4252231322441031,0.12318890532341002,-11.569411453916564,5.888520858872968e-31,1.8163563197826448e-28,ENSG00000099795,NDUFB7,4713,NADH:ubiquinone oxidoreductase subunit B7 [Source:HGNC Symbol;Acc:HGNC:7702]
ENSG00000105379.10,930.508664599824,-1.4254615052705824,0.12366971548386627,-11.526358734580784,9.716708823560726e-31,2.874016122168811e-28,ENSG00000105379,ETFB,2109,electron transfer flavoprotein subunit beta [Source:HGNC Symbol;Acc:HGNC:3482]
ENSG00000130332.15,1784.280364882799,-1.2708782372670966,0.11133015392519977,-11.41539998337711,3.5028878720115175e-30,1.0084580657663024e-27,ENSG00000130332,LSM7,51690,"LSM7 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:20470]"
ENSG00000158042.9,1092.1594796244267,-1.3365827184090509,0.11728643072704165,-11.395885356249376,4.3835119324106354e-30,1.2292050603196161e-27,ENSG00000158042,MRPL17,63875,mitochondrial ribosomal protein L17 [Source:HGNC Symbol;Acc:HGNC:14053]
ENSG00000175334.8,2804.9882453558616,-1.1204048137872507,0.09855127996953106,-11.368749488932508,5.9838719965544855e-30,1.635490685438031e-27,ENSG00000175334,BANF1,8815,BAF nuclear assembly factor 1 [Source:HGNC Symbol;Acc:HGNC:17397]
ENSG00000223959.8,1586.586876810908,-1.293181759367644,0.11403450029543194,-11.340267691070393,8.289051916299762e-30,2.2372151122093054e-27,NA,NA,NA,NA
ENSG00000171960.12,1556.8329907855534,-1.5175737645000358,0.13394638807723072,-11.329710239181919,9.351358601769035e-30,2.492772036165395e-27,ENSG00000171960,PPIH,10465,peptidylprolyl isomerase H [Source:HGNC Symbol;Acc:HGNC:14651]
ENSG00000123144.11,8245.005895686085,-1.1534480935466946,0.10201092156708542,-11.307103943651295,1.2101823784081966e-29,3.148223845131299e-27,ENSG00000123144,TRIR,79002,telomerase RNA component interacting RNase [Source:HGNC Symbol;Acc:HGNC:28424]
ENSG00000102030.16,1002.9196789436878,-1.3017295454386346,0.11699006152315822,-11.126838711687974,9.287098946266094e-29,2.2035938510744782e-26,ENSG00000102030,NAA10,8260,"N-alpha-acetyltransferase 10, NatA catalytic subunit [Source:HGNC Symbol;Acc:HGNC:18704]"
ENSG00000197114.12,695.5561236922201,-1.5145704086215275,0.137250634693599,-11.035070344138548,2.5884887393176074e-28,5.883226195720608e-26,ENSG00000197114,ZGPAT,84619,zinc finger CCCH-type and G-patch domain containing [Source:HGNC Symbol;Acc:HGNC:15948]
ENSG00000156970.13,2017.309188687097,-1.3079983330467158,0.1189915914475833,-10.99235935190344,4.159094699283369e-28,9.258059046074898e-26,ENSG00000156970,BUB1B,701,BUB1 mitotic checkpoint serine/threonine kinase B [Source:HGNC Symbol;Acc:HGNC:1149]
ENSG00000123136.15,6529.2712071191,-1.1729444118875039,0.10736443408716467,-10.924887946927003,8.764851653137298e-28,1.8925067689454054e-25,ENSG00000123136,DDX39A,10212,DExD-box helicase 39A [Source:HGNC Symbol;Acc:HGNC:17821]
ENSG00000174547.13,2000.7347010349001,-1.1010521409034844,0.1009781519164361,-10.903865044139982,1.1046311555299723e-27,2.338352540215996e-25,ENSG00000174547,MRPL11,65003,mitochondrial ribosomal protein L11 [Source:HGNC Symbol;Acc:HGNC:14042]
ENSG00000112667.13,1770.490926777483,-1.2315659144192732,0.1132844044317402,-10.871451552374593,1.5767209792357937e-27,3.305297027539734e-25,ENSG00000112667,DNPH1,10591,2'-deoxynucleoside 5'-phosphate N-hydrolase 1 [Source:HGNC Symbol;Acc:HGNC:21218]
ENSG00000042753.12,1486.2642801767765,-1.167706071309827,0.1081471654218395,-10.79738028042682,3.541644639369389e-27,7.080665838265172e-25,ENSG00000042753,AP2S1,1175,adaptor related protein complex 2 subunit sigma 1 [Source:HGNC Symbol;Acc:HGNC:565]
ENSG00000196415.10,24723.46656278758,-1.2107806715605964,0.11268668255429562,-10.744665155771253,6.278934074258265e-27,1.2324976775580405e-24,ENSG00000196415,PRTN3,5657,proteinase 3 [Source:HGNC Symbol;Acc:HGNC:9495]
ENSG00000135404.12,3117.7815528299075,-1.0314250290325544,0.09650361724813425,-10.687941638296417,1.1591492861392076e-26,2.2548064311997992e-24,ENSG00000135404,CD63,967,CD63 molecule [Source:HGNC Symbol;Acc:HGNC:1692]
ENSG00000175063.17,2137.377365219397,-1.4574168330471982,0.13645585177623948,-10.680500792571891,1.2559229713345631e-26,2.3998131678810518e-24,ENSG00000175063,UBE2C,11065,ubiquitin conjugating enzyme E2 C [Source:HGNC Symbol;Acc:HGNC:15937]
ENSG00000077312.9,5103.598958730416,-1.2599920464851793,0.11860226367159679,-10.623676205489877,2.3127001552097486e-26,4.380335241341131e-24,ENSG00000077312,SNRPA,6626,small nuclear ribonucleoprotein polypeptide A [Source:HGNC Symbol;Acc:HGNC:11151]
ENSG00000106077.18,414.05896516769087,-1.693456868129722,0.1610360802712828,-10.516008991754578,7.289630785706839e-26,1.3221912067967342e-23,NA,NA,NA,NA
ENSG00000147684.10,1768.2919397335086,-1.2563725140876947,0.11948094410365044,-10.51525432371696,7.348228270452395e-26,1.3221912067967342e-23,ENSG00000147684,NDUFB9,4715,NADH:ubiquinone oxidoreductase subunit B9 [Source:HGNC Symbol;Acc:HGNC:7704]
ENSG00000149483.12,913.7994338372414,-1.5377452838445222,0.14630276329845873,-10.510705670729612,7.711435086628611e-26,1.3760769123180575e-23,NA,NA,NA,NA
ENSG00000105173.14,634.1987475715755,-1.617566816402573,0.15404157021841644,-10.500846064533201,8.560934261200791e-26,1.5151450210479302e-23,ENSG00000105173,CCNE1,898,cyclin E1 [Source:HGNC Symbol;Acc:HGNC:1589]
ENSG00000174775.17,848.2399884781727,-1.713378422900522,0.16333813688536822,-10.489763478219311,9.626907555922579e-26,1.6763240963506477e-23,NA,NA,NA,NA
ENSG00000229833.10,807.2047529164466,-1.6539994350345464,0.15774152776762845,-10.485504092942977,1.0070717799358396e-25,1.739575509789972e-23,NA,NA,NA,NA
ENSG00000135390.21,9119.841500922152,-1.2961807429628076,0.12381718861757227,-10.46850406986912,1.205326525529009e-25,2.0174736697071596e-23,ENSG00000135390,ATP5MC2,517,ATP synthase membrane subunit c locus 2 [Source:HGNC Symbol;Acc:HGNC:842]
ENSG00000274536.7,2828.5052649764702,-1.7577082328745794,0.1680607820123376,-10.45876504814516,1.3358536767451414e-25,2.1851327718394766e-23,NA,NA,NA,NA
ENSG00000183978.8,460.83573741561065,-1.5854798656776172,0.1516797148604454,-10.452814123077404,1.4224082012764076e-25,2.2919879016388204e-23,ENSG00000183978,COA3,28958,cytochrome c oxidase assembly factor 3 [Source:HGNC Symbol;Acc:HGNC:24990]
ENSG00000241370.6,686.1505605641539,-1.5743504426207522,0.15141374815402017,-10.397671689755022,2.5406521701632075e-25,4.033658945453233e-23,ENSG00000241370,RPP21,79897,ribonuclease P/MRP subunit p21 [Source:HGNC Symbol;Acc:HGNC:21300]
ENSG00000241370.6,686.1505605641539,-1.5743504426207522,0.15141374815402017,-10.397671689755022,2.5406521701632075e-25,4.033658945453233e-23,ENSG00000241370,RPP21,202658,ribonuclease P/MRP subunit p21 [Source:HGNC Symbol;Acc:HGNC:21300]
ENSG00000277203.1,598.1012992559422,-1.5085788781419336,0.14524467177683872,-10.38646622755147,2.8574451229775e-25,4.5035003719219105e-23,NA,NA,NA,NA
ENSG00000167208.15,945.5491813679396,-1.2743836998367495,0.12306800184999728,-10.355118151589439,3.9669647726668977e-25,6.206862563146641e-23,NA,NA,NA,NA
ENSG00000125450.11,2232.715486088106,-1.0840038169415442,0.10492538811055348,-10.33118710792278,5.092638404170925e-25,7.854303458775615e-23,ENSG00000125450,NUP85,79902,nucleoporin 85 [Source:HGNC Symbol;Acc:HGNC:8734]
ENSG00000130731.16,2351.676165601109,-1.3628867082521432,0.1320675266283788,-10.319620144678963,5.744999142642066e-25,8.797590176448759e-23,ENSG00000130731,METTL26,84326,methyltransferase like 26 [Source:HGNC Symbol;Acc:HGNC:14141]
ENSG00000175550.8,1822.3885560967199,-1.0856212545912887,0.10532353098722547,-10.30749011560353,6.518136158171392e-25,9.911239149805402e-23,ENSG00000175550,DRAP1,10589,DR1 associated protein 1 [Source:HGNC Symbol;Acc:HGNC:3019]
ENSG00000183684.8,3497.6290063451816,-1.1862940104870587,0.11518584186687424,-10.29895680979712,7.122952579887516e-25,1.0755160287058129e-22,ENSG00000183684,ALYREF,10189,Aly/REF export factor [Source:HGNC Symbol;Acc:HGNC:19071]
ENSG00000188486.3,3928.538670507387,-1.6527943866294048,0.16053640198878055,-10.295449294702108,7.387389384644781e-25,1.1076979971753482e-22,NA,NA,NA,NA
ENSG00000177084.18,4247.8601359290315,-1.2570210931983783,0.12225554304727335,-10.281914928898706,8.502131555933738e-25,1.2573837298337073e-22,NA,NA,NA,NA
ENSG00000165724.6,2082.5932582270616,-1.2431721326145901,0.1209631559235937,-10.277279251872686,8.921040583236838e-25,1.3015074883327692e-22,ENSG00000165724,ZMYND19,116225,zinc finger MYND-type containing 19 [Source:HGNC Symbol;Acc:HGNC:21146]
ENSG00000167863.12,1659.0466956159319,-1.382916830814921,0.13476050361278621,-10.262033709732355,1.0448272962282629e-24,1.5039940653440434e-22,ENSG00000167863,ATP5PD,10476,ATP synthase peripheral stalk subunit d [Source:HGNC Symbol;Acc:HGNC:845]
ENSG00000141456.16,1772.3577517534786,-1.0394055749724798,0.10133004739129195,-10.257624482881706,1.0936398803638684e-24,1.5638326024381885e-22,ENSG00000141456,PELP1,27043,"proline, glutamate and leucine rich protein 1 [Source:HGNC Symbol;Acc:HGNC:30134]"
ENSG00000136942.15,45701.157233355,-1.1732016452024818,0.1149820188227046,-10.203348812404213,1.915514861313835e-24,2.6683739926121503e-22,ENSG00000136942,RPL35,11224,ribosomal protein L35 [Source:HGNC Symbol;Acc:HGNC:10344]
ENSG00000197728.11,17454.91252394268,-1.16362455698872,0.11426956688540028,-10.183153648912546,2.3579335642342304e-24,3.2223102227180697e-22,ENSG00000197728,RPS26,6231,ribosomal protein S26 [Source:HGNC Symbol;Acc:HGNC:10414]
ENSG00000145050.19,3684.2269821999457,-1.1100268447547703,0.10967793145813974,-10.12078574055191,4.4681407158962275e-24,5.992303996126171e-22,ENSG00000145050,MANF,7873,mesencephalic astrocyte derived neurotrophic factor [Source:HGNC Symbol;Acc:HGNC:15461]
ENSG00000197561.7,54307.36620133878,-1.2322149409474006,0.12211232441918113,-10.090831918959418,6.06532786466257e-24,7.985521905719158e-22,ENSG00000197561,ELANE,1991,"elastase, neutrophil expressed [Source:HGNC Symbol;Acc:HGNC:3309]"
ENSG00000243927.6,865.3098726443475,-1.2313344245812141,0.12226693517065533,-10.070870124147353,7.431765647476407e-24,9.725253567291552e-22,ENSG00000243927,MRPS6,64968,mitochondrial ribosomal protein S6 [Source:HGNC Symbol;Acc:HGNC:14051]
ENSG00000132017.10,1477.8381148205972,-1.3941408838082907,0.13847149164828504,-10.068071537420728,7.64625857900958e-24,9.945663568552702e-22,NA,NA,NA,NA
