ensembl,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ensembl.y,gene,ENTREZID,description
ENSG00000196850.6,1001.0676890994988,2.754551143971398,0.14371480168342685,19.1667880531825,7.010586335757859e-82,1.5137258016168369e-77,ENSG00000196850,PPTC7,160760,protein phosphatase targeting COQ7 [Source:HGNC Symbol;Acc:HGNC:30695]
ENSG00000120690.16,1652.5155738628907,3.1935817693846467,0.1688208312887622,18.916988768537312,8.264328387822282e-80,8.922168927492935e-76,ENSG00000120690,ELF1,1997,E74 like ETS transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3316]
ENSG00000150593.18,1604.885174816852,2.010173515487838,0.11532199792044612,17.430963317809837,4.803002196994627e-68,2.5926605859377e-64,ENSG00000150593,PDCD4,27250,programmed cell death 4 [Source:HGNC Symbol;Acc:HGNC:8763]
ENSG00000215301.11,4204.988419117052,2.104677477582127,0.1293278606017695,16.273968097739722,1.5104425525594701e-59,6.522695118972815e-56,ENSG00000215301,DDX3X,1654,DEAD-box helicase 3 X-linked [Source:HGNC Symbol;Acc:HGNC:2745]
ENSG00000120709.11,1290.851774170909,2.875542900951134,0.1805507912220712,15.9265040130138,4.1491562677284834e-57,1.4931430355465567e-53,ENSG00000120709,FAM53C,51307,family with sequence similarity 53 member C [Source:HGNC Symbol;Acc:HGNC:1336]
ENSG00000120709.11,1290.851774170909,2.875542900951134,0.1805507912220712,15.9265040130138,4.1491562677284834e-57,1.4931430355465567e-53,ENSG00000120709,FAM53C,100128966,family with sequence similarity 53 member C [Source:HGNC Symbol;Acc:HGNC:1336]
ENSG00000163291.14,670.6471507066216,2.7460111821463236,0.17518736766693271,15.674709990317664,2.2525075912121487e-55,6.847119103299919e-52,ENSG00000163291,PAQR3,152559,progestin and adipoQ receptor family member 3 [Source:HGNC Symbol;Acc:HGNC:30130]
ENSG00000111897.7,1529.9014341302395,1.8414537882588955,0.11753595447129168,15.667153055779824,2.5369096344201254e-55,6.847119103299919e-52,ENSG00000111897,SERINC1,57515,serine incorporator 1 [Source:HGNC Symbol;Acc:HGNC:13464]
ENSG00000104549.12,971.7759147735496,1.967724807544751,0.13214953003049018,14.890138520286436,3.819773244700956e-50,6.873045324965254e-47,ENSG00000104549,SQLE,6713,squalene epoxidase [Source:HGNC Symbol;Acc:HGNC:11279]
ENSG00000123485.12,1659.8573199886198,-1.715961093745945,0.11662790651502468,-14.713126086378692,5.309678481595734e-49,8.818967521124237e-46,ENSG00000123485,HJURP,55355,Holliday junction recognition protein [Source:HGNC Symbol;Acc:HGNC:25444]
ENSG00000176444.19,4816.737789384887,-1.530738299577571,0.10423281474800764,-14.685761900206485,7.953517954066831e-49,1.2266597118872217e-45,ENSG00000176444,CLK2,1196,CDC like kinase 2 [Source:HGNC Symbol;Acc:HGNC:2069]
ENSG00000100644.17,1258.4014168597168,2.0108984497073283,0.13779121219982168,14.593807671792373,3.075425325726254e-48,4.1502864770675796e-45,ENSG00000100644,HIF1A,3091,hypoxia inducible factor 1 subunit alpha [Source:HGNC Symbol;Acc:HGNC:4910]
ENSG00000258441.1,328.64773965335814,3.2920901573738326,0.22872768502832613,14.393055029460614,5.721181865494899e-47,6.501671517882413e-44,ENSG00000258441,LINC00641,283624,long intergenic non-protein coding RNA 641 [Source:HGNC Symbol;Acc:HGNC:27511]
ENSG00000173457.11,5805.551635931995,-1.3406759897398717,0.09328349207628008,-14.372060478220194,7.749099856760881e-47,8.365928205359044e-44,ENSG00000173457,PPP1R14B,26472,protein phosphatase 1 regulatory inhibitor subunit 14B [Source:HGNC Symbol;Acc:HGNC:9057]
ENSG00000139146.14,1519.9939499695772,2.2941584999953277,0.1617208941348333,14.185912786770734,1.119988819219596e-45,1.1515618373614055e-42,ENSG00000139146,SINHCAF,58516,SIN3-HDAC complex associated factor [Source:HGNC Symbol;Acc:HGNC:30702]
ENSG00000075624.17,101337.80731142715,-1.2827191650195486,0.0912118563068832,-14.06307487815868,6.404198300610338e-45,6.012149987251235e-42,ENSG00000075624,ACTB,60,actin beta [Source:HGNC Symbol;Acc:HGNC:132]
ENSG00000172301.11,1303.4078920669344,-1.615568209681311,0.11564133266070022,-13.970508403094088,2.3593639660755003e-44,2.1226411148125915e-41,ENSG00000172301,COPRS,55352,coordinator of PRMT5 and differentiation stimulator [Source:HGNC Symbol;Acc:HGNC:28848]
ENSG00000134109.11,920.3098999337054,1.8010404899923036,0.12896335865201852,13.965520972914844,2.5304826766252506e-44,2.1855272781476963e-41,ENSG00000134109,EDEM1,9695,ER degradation enhancing alpha-mannosidase like protein 1 [Source:HGNC Symbol;Acc:HGNC:18967]
ENSG00000206077.14,2539.929755979722,-1.6407798074611826,0.11795564559134496,-13.910142233849768,5.497002736617261e-44,4.5650493495784576e-41,ENSG00000206077,ZDHHC11B,653082,zinc finger DHHC-type containing 11B [Source:HGNC Symbol;Acc:HGNC:32962]
ENSG00000163349.22,2540.2431912722163,2.21939770315313,0.1601350702915652,13.859535572764738,1.1139264439217542e-43,8.589964206128043e-41,ENSG00000163349,HIPK1,204851,homeodomain interacting protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:19006]
ENSG00000170906.16,1028.891189751789,-1.6579482006344,0.11962115991627952,-13.859991006564098,1.1068812535600614e-43,8.589964206128043e-41,ENSG00000170906,NDUFA3,4696,"NADH:ubiquinone oxidoreductase subunit A3 [Source:HGNC Symbol;Acc:HGNC:7686]"
ENSG00000074071.15,3826.9723011502633,-1.437080508738438,0.10404078263262367,-13.812665306573903,2.137732864699978e-43,1.5916526901586872e-40,ENSG00000074071,MRPS34,65993,mitochondrial ribosomal protein S34 [Source:HGNC Symbol;Acc:HGNC:16618]
ENSG00000156675.16,1059.3046921691114,2.2708011929204246,0.1660317001438216,13.67691345058437,1.3948909209599467e-42,1.0039494921789057e-39,ENSG00000156675,RAB11FIP1,80223,RAB11 family interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:30265]
ENSG00000135999.12,605.7617980442867,2.04145873669634,0.1503911969576464,13.574323351327946,5.686642460462805e-42,3.9608381937520284e-39,ENSG00000135999,EPC2,26122,enhancer of polycomb homolog 2 [Source:HGNC Symbol;Acc:HGNC:24543]
